
 id                  | input                                                                     | target
---------------------+---------------------------------------------------------------------------+---------------
 1320023726621155330 |    [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |  [0, 0, 0, 0]
 1320029188712259584 |    [[6, 0, 0, 0], [5, 0, 0, 0], [5, 0, 0, 0], [5, 0, 0, 0], [4, 0, 0, 0]] |          null
 1320021965516619777 |    [[0, 0, 1, 0], [0, 0, 1, 0], [0, 0, 1, 0], [0, 0, 1, 0], [0, 0, 0, 0]] |  [0, 0, 1, 0]
 1320029122580668416 |                  [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |          null
 1320026139637800960 |                  [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |          null
 1320025081364516864 |    [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |          null
 1320029615281287173 |                  [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |          null
 1320027236842508288 |    [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |          null
 1320027744617594880 |    [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |          null
 1320027163903578113 |                  [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |          null
 1320030083252367360 |    [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |          null
 1320025003698446343 |                  [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |  [0, 0, 0, 0]
 1320024889290608647 |    [[5, 0, 3, 3], [5, 0, 3, 3], [5, 0, 3, 3], [4, 0, 1, 2], [2, 0, 1, 2]] |          null
 1320021692069023744 |    [[1, 0, 0, 0], [1, 0, 0, 0], [1, 0, 0, 0], [1, 0, 0, 0], [1, 0, 0, 0]] |          null
 1320022882878169090 |    [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |  [0, 0, 0, 0]
 1320023891176194050 |    [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |  [0, 0, 0, 0]
 1320028168296824832 |                  [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |          null
 1320028798121734144 |                  [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |          null
 1320025138662920192 |    [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |          null
 1320023868744945664 |    [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |  [0, 0, 0, 0]
 1320028620698587137 |                  [[1, 0, 0, 0], [1, 0, 0, 0], [1, 0, 0, 0], [0, 0, 0, 0]] |          null
 1320029684281856000 |    [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |          null
 1320023964601749504 |    [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |  [0, 0, 0, 0]
 1320032009293500419 |                                              [[0, 0, 0, 0], [0, 0, 0, 0]] |          null
 1320026098088898561 |    [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |          null
 1320030583553249280 |                  [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |          null
 1320031343263289344 |                                [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |          null
 1320021699606290432 |    [[2, 0, 0, 0], [2, 0, 0, 0], [1, 0, 0, 0], [1, 0, 0, 0], [1, 0, 0, 0]] |          null
 1320025243977732097 |                                [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |          null
 1320026891655458819 |                                [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |          null
 1320031936832733190 |                                                            [[0, 0, 0, 0]] |          null
 1320021858356441090 |                  [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |  [0, 0, 0, 0]
 1320026589548064769 |    [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |          null
 1320025637185269760 |    [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |          null
 1320029085335158784 |                  [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |          null
 1320022395114147842 |                  [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |  [0, 0, 0, 0]
 1320031516202659842 |                  [[1, 0, 1, 0], [1, 0, 1, 0], [1, 0, 1, 0], [1, 0, 1, 0]] |          null
 1320021544203022336 |                  [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |  [1, 0, 0, 0]
 1320023045193478146 |                                [[1, 0, 0, 0], [1, 0, 0, 0], [1, 0, 0, 0]] |  [1, 0, 0, 0]
 1320023209681559552 |    [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |  [0, 0, 0, 0]
 1320024314889076737 |                  [[2, 0, 0, 1], [2, 0, 0, 1], [1, 0, 0, 0], [0, 0, 0, 0]] |          null
 1320027762329972737 |    [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |          null
 1320029749004128256 |                  [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |          null
 1320031849276710912 |                                              [[0, 0, 0, 0], [0, 0, 0, 0]] |          null
 1320022944303644673 |    [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |          null
 1320023723941023750 |    [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |  [0, 0, 0, 0]
 1320022474222829568 |    [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |  [0, 0, 0, 0]
 1320023648745541637 |    [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |          null
 1320023474195341313 |    [[0, 0, 0, 1], [0, 0, 0, 1], [0, 0, 0, 1], [0, 0, 0, 0], [0, 0, 0, 0]] |  [0, 0, 0, 1]
 1320028434223988737 |                  [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |          null
 1320026386443108352 |                  [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |          null
 1320022952822362112 |    [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |          null
 1320028708753854466 |    [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |          null
 1320028446047784960 |                  [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]] |          null
